Address,Zip Code,SqFt,Beds,Baths,Price,Est,Lat,Long
216 9th St NW,87102,3151,5,5,425000,432665,35.086861,-106.657013
1017 Arno St SE,87102,1750,3,1,133500,141736,35.072884,-106.64463
1211 4th St SW,87102,2100,3,2,268000,248436,35.073448,-106.653862
115 Elm St NE,87102,2065,3,2,299900,294685,35.083488,-106.638779
1015 Stover Ave SW,87102,2222,4,3,450000,NA,35.079834,-106.660606
512 Hazeldine Ave SW,87102,1200,3,2,164000,162863,35.077759,-106.654854
2703 Floral Rd NW,87104,1168,3,2,134000,137299,35.107075,-106.677345
1147 10th St NW,87104,1763,3,2,175000,178535,35.0974,-106.65715
2809 Socorro St NW,87104,1500,4,3,179900,177444,35.108284,-106.679398
2201 Wilder Ln NW,87104,2848,3,4,464900,353606,35.111359,-106.670929
600 Raynolds Ave SW,87104,3451,4,4,539500,569984,35.084553,-106.665398
1709 Garden Way SW,87105,2181,4,3,249490,218244,35.074544,-106.683918
3126 La Junta Rd SW,87105,1548,3,2,159000,140240,35.029827,-106.698013
359 57th St NW,87105,400,1,1,75000,64253,35.087032,-106.702744
2037 Minnie St SW,87105,936,3,1,76500,97015,35.044903,-106.686943
4901 Olympia Rd NW,87105,2039,3,2,259000,246024,35.089012,-106.693359
624 Red Bluff Ave SW,87105,1185,3,2,149999,150297,35.076626,-106.69278
433 Dartmouth Dr NE,87106,1882,4,2,325000,330033,35.085613,-106.612373
507 Princeton Dr SE,87106,1847,4,2,400000,376842,35.073109,-106.616096
3001 San Joaquin Ave SE,87106,4100,6,4,394721,390434,35.06625,-106.610596
409 Princeton Dr SE,87106,1541,3,3,230000,245982,35.074757,-106.616119
610 Richmond Dr NE,87106,3114,5,3,629995,570429,35.086605,-106.610641
2009 Lead Ave SE,87106,1252,2,2,197500,NA,35.078194,-106.624313
152 Velarde Rd NW,87107,1300,2,1,159000,163948,35.15534,-106.63059
1654 Rancho Guadalupe Trl NW,87107,2884,3,3,485000,479397,35.139099,-106.66024
3917 Pedroncelli Rd NW,87107,2800,3,3,799000,551248,35.137844,-106.670708
3008 Calle Obispo NW,87107,1953,3,2,457500,341212,35.124627,-106.676125
2925 Sierra Vista St NW,87107,1900,3,2,259000,263232,35.114483,-106.659409
1103 Griegos Rd NW,87107,1357,3,1,159900,144577,35.133114,-106.650848
1108 Salamanca St NW,87107,4360,4,4,975000,814235,35.151917,-106.651108
4614 Inspiration Dr SE,87108,1960,4,2,374000,349060,35.068203,-106.593971
812 Palomas Dr SE,87108,1459,3,2,175000,159086,35.068607,-106.582741
